,Currency,Name,Units per EUR,EUR per unit,Date,Rate,Change
67,DOP,Dominican Peso,56.534083621462,0.0176884444912161,2022-11-30,,
68,ISK,Icelandic Krona,148.09422486095372,0.0067524577743588,2022-11-30,,
69,CRC,Costa Rican Colon,627.6546179610684,0.0015932329204371,2022-11-30,,
70,XAG,Silver Ounce,0.0476328525051807,20.99391380961775,2022-11-30,,
71,SYP,Syrian Pound,2592.9968244067086,0.0003856541552953,2022-11-30,,
72,JMD,Jamaican Dollar,159.15642937433216,0.0062831266316488,2022-11-30,,
73,LYD,Libyan Dinar,5.047091425547544,0.1981339182678889,2022-11-30,,
74,GHS,Ghanaian Cedi,14.954386147468265,0.0668700132615806,2022-11-30,,
75,MUR,Mauritian Rupee,45.73000111467469,0.0218674825196779,2022-11-30,,
76,AOA,Angolan Kwanza,527.0132451030995,0.001897485517284,2022-11-30,,
77,UYU,Uruguayan Peso,40.79163468079447,0.0245148302544202,2022-11-30,,
78,AFN,Afghan Afghani,91.12101484218292,0.0109744168426125,2022-11-30,,
79,LBP,Lebanese Pound,1555.7786097296405,0.0006427649755216,2022-11-30,,
80,XPF,CFP Franc,119.331742243,0.0083800000000306,2022-11-30,,
81,TTD,Trinidadian Dollar,6.999192942286677,0.1428736153218965,2022-11-30,,
82,TZS,Tanzanian Shilling,2408.907797505639,0.0004151258927533,2022-11-30,,
83,ALL,Albanian Lek,115.58757718092512,0.0086514487489839,2022-11-30,,
84,XCD,East Caribbean Dollar,2.787011066697868,0.3588073301713972,2022-11-30,,
85,GTQ,Guatemalan Quetzal,8.079853568572716,0.1237646191868607,2022-11-30,,
86,NPR,Nepalese Rupee,134.5249637644815,0.0074335645371422,2022-11-30,,
87,BOB,Bolivian Bolíviano,7.1455001328699,0.1399482165565873,2022-11-30,,
88,ZWD,Zimbabwean Dollar,373.4900688962898,0.0026774473628043,2022-11-30,,
89,BBD,Barbadian or Bajan Dollar,2.0640512235219117,0.4844841002994538,2022-11-30,,
90,CUC,Cuban Convertible Peso,1.0320256117609556,0.9689682005989076,2022-11-30,,
91,LAK,Lao Kip,17825.26672810623,5.61001423009e-05,2022-11-30,,
92,BND,Bruneian Dollar,1.4122878533839955,0.7080709485703577,2022-11-30,,
93,BWP,Botswana Pula,13.308141252752206,0.0751419736992342,2022-11-30,,
94,HNL,Honduran Lempira,25.49239441071001,0.0392273861720841,2022-11-30,,
95,PYG,Paraguayan Guarani,7446.476163912637,0.0001342917076463,2022-11-30,,
96,ETB,Ethiopian Birr,55.19253458680252,0.0181183924145987,2022-11-30,,
97,NAD,Namibian Dollar,17.501919462536737,0.057136590197465,2022-11-30,,
98,PGK,Papua New Guinean Kina,3.620640215360355,0.2761942475691338,2022-11-30,,
99,SDG,Sudanese Pound,587.4709300198845,0.0017022118864096,2022-11-30,,
100,MOP,Macau Pataca,8.296579007765807,0.1205316069507654,2022-11-30,,
101,BMD,Bermudian Dollar,1.0320256117609556,0.9689682005989076,2022-11-30,,
102,NIO,Nicaraguan Cordoba,37.44066286657191,0.0267089288339718,2022-11-30,,
103,BAM,Bosnian Convertible Mark,1.95583,0.5112918811962185,2022-11-30,,
104,KZT,Kazakhstani Tenge,483.9240062706632,0.0020664401580455,2022-11-30,,
105,PAB,Panamanian Balboa,1.0320256117609556,0.9689682005989076,2022-11-30,,
106,GYD,Guyanese Dollar,215.7726594079127,0.0046345074614366,2022-11-30,,
